Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","CP_Elec_5x5.9",71.4000,-100.3000,270.0000,top
"C2","100nF","C_0603_1608Metric",69.8000,-84.3000,180.0000,top
"C3","100nF","C_0603_1608Metric",72.6000,-90.7000,90.0000,top
"C4","100nF","C_0603_1608Metric",79.5000,-68.1000,0.0000,top
"C5","22uF","CP_Elec_5x5.9",83.4000,-100.3000,270.0000,top
"C6","100nF","C_0603_1608Metric",79.5000,-69.7000,0.0000,top
"C7","22uF","CP_Elec_5x5.9",77.4000,-100.3000,270.0000,top
"C8","24pF","C_0603_1608Metric",79.4000,-62.9000,90.0000,top
"C9","24pF","C_0603_1608Metric",77.8000,-62.8750,90.0000,top
"C10","24pF","C_0603_1608Metric",75.0000,-62.0000,180.0000,top
"C11","24pF","C_0603_1608Metric",71.8000,-64.3000,90.0000,top
"C12","100nF","C_0603_1608Metric",68.5000,-77.8000,180.0000,top
"C13","100nF","C_0603_1608Metric",78.2000,-80.5000,270.0000,top
"C14","100nF","C_0603_1608Metric",68.5000,-79.4000,180.0000,top
"C15","4.7uF","C_0805_2012Metric",82.8000,-94.3000,0.0000,top
"C16","100nF","C_0603_1608Metric",76.6000,-80.5000,270.0000,top
"C17","4.7uF","C_0805_2012Metric",79.8000,-87.8000,90.0000,top
"C18","100nF","C_0603_1608Metric",69.9000,-42.5000,90.0000,top
"C19","100nF","C_0603_1608Metric",55.1000,-100.2000,90.0000,top
"C20","100V 150uF","CAPAE1300X1650N",59.8000,-90.7000,0.0000,top
"C21","100V 1uF","C_1206_3216Metric",51.8000,-96.5000,180.0000,top
"C22","100nF","C_0603_1608Metric",57.6000,-98.3000,0.0000,top
"C23","100V 1uF","C_1206_3216Metric",42.0000,-86.5000,180.0000,top
"C24","100V 1uF","C_1206_3216Metric",64.9000,-61.0000,0.0000,top
"C25","100V 150uF","CAPAE1300X1650N",40.7000,-94.8000,180.0000,top
"C26","100V 1uF","C_1206_3216Metric",31.0875,-69.6000,0.0000,top
"C27","100V 1uF","C_1206_3216Metric",34.1000,-55.1000,90.0000,top
"C28","1nF","C_0603_1608Metric",111.1000,-62.3000,0.0000,top
"C29","100V 100nF","C_0603_1608Metric",29.7000,-57.2000,90.0000,top
"C30","100V 1uF","C_1206_3216Metric",31.7000,-55.1000,90.0000,top
"C31","100V 150uF","CAPAE1300X1650N",47.1000,-48.7000,90.0000,top
"C32","100V 150uF","CAPAE1300X1650N",61.4000,-48.7000,90.0000,top
"C33","100nF","C_0603_1608Metric",92.4000,-64.1000,0.0000,top
"C34","100nF","C_0603_1608Metric",82.4000,-62.1000,90.0000,top
"C35","100nF","C_0603_1608Metric",85.7000,-82.9000,90.0000,top
"C36","4.7uF","C_0805_2012Metric",71.8000,-67.3000,0.0000,top
"C37","100nF","C_0603_1608Metric",86.3000,-77.4000,90.0000,top
"C38","100V 100nF","C_0603_1608Metric",31.2000,-62.1000,0.0000,top
"C39","100V 100nF","C_0603_1608Metric",51.5000,-94.1000,180.0000,top
"C40","100V 100nF","C_0603_1608Metric",42.3000,-84.2000,0.0000,top
"C42","100V 100nF","C_0603_1608Metric",64.9000,-56.5000,180.0000,top
"C43","100V 100nF","C_0603_1608Metric",64.9000,-58.1000,180.0000,top
"D1","SMBJ58A","D_SMB",18.6000,-92.7000,270.0000,top
"D2","MMBZ5245BLT1G","D_SOT-23_ANK",28.3000,-102.5000,90.0000,top
"D3","SS16HE","D_SOD-323",71.8000,-42.3000,90.0000,top
"D4","Red","LED_0805_2012Metric",89.8000,-95.2375,90.0000,top
"D5","Green","LED_0805_2012Metric",92.9000,-79.2000,180.0000,top
"D6","Blue","LED_0805_2012Metric",92.9000,-77.1000,180.0000,top
"D7","TSPB20U80S S1G","TO-277A",58.3000,-59.7000,90.0000,top
"D8","SMBJ58A","D_SMB",19.0000,-51.7000,270.0000,top
"D9","SS16HE","D_SOD-323",88.7000,-83.4000,0.0000,top
"D10","Yellow","LED_0805_2012Metric",92.9000,-81.3000,180.0000,top
"D11","Red","LED_0805_2012Metric",87.6000,-95.2000,90.0000,top
"D12","SS16HE","D_SOD-323",111.6200,-59.5700,0.0000,top
"D13","SS16HE","D_SOD-323",116.6700,-59.5700,0.0000,top
"D14","MMBZ5245BLT1G","D_SOT-23_ANK",112.8000,-97.6000,0.0000,top
"F1","3588TR","3588TR",24.6000,-83.5000,270.0000,top
"F2","3588TR","3588TR",31.2000,-46.5000,270.0000,top
"FB1","Ferrite_Bead","L_0603_1608Metric",70.1000,-63.6000,90.0000,top
"L1","4.7uH","60x60mm_Inductor",76.9000,-92.9000,0.0000,top
"L2","68uH","74437429203680",49.5000,-73.4000,180.0000,top
"Q1","DMP6050","SO-8_3.9x4.9mm_P1.27mm",114.9000,-86.2000,0.0000,top
"Q2","TPH2R408QM,L1Q","SOP_ADVANCE",40.7000,-59.8000,0.0000,top
"Q3","DMP4015SSS","SO-8_3.9x4.9mm_P1.27mm",123.3500,-86.2000,0.0000,top
"R1","10k","R_0603_1608Metric",23.6000,-98.4000,270.0000,top
"R2","10k","R_0603_1608Metric",138.7200,-84.2300,0.0000,top
"R3","10k","R_0603_1608Metric",89.6000,-79.2000,180.0000,top
"R4","10k","R_0603_1608Metric",85.7000,-95.0750,270.0000,top
"R5","10k","R_0603_1608Metric",71.3000,-56.4000,90.0000,top
"R6","10k","R_0603_1608Metric",77.5000,-56.4000,90.0000,top
"R7","1M","R_0603_1608Metric",75.3000,-67.1000,180.0000,top
"R8","10k","R_0603_1608Metric",89.3000,-92.7000,180.0000,top
"R9","10k","R_0603_1608Metric",89.6000,-77.1000,180.0000,top
"R10","10k","R_0603_1608Metric",89.6000,-81.3000,180.0000,top
"R11","10k","R_0603_1608Metric",85.9000,-67.5000,90.0000,top
"R12","10k","R_0603_1608Metric",85.9000,-71.3000,90.0000,top
"R13","10k","R_0603_1608Metric",83.5000,-74.3000,0.0000,top
"R14","10k","R_0603_1608Metric",83.5000,-72.7000,0.0000,top
"R15","10R","R_0603_1608Metric",52.8000,-101.0000,180.0000,top
"R16","10R","R_0603_1608Metric",52.8000,-99.4000,180.0000,top
"R17","10mR","R_0612_1632Metric",49.1000,-100.0000,270.0000,top
"R18","10k","R_0603_1608Metric",65.6000,-63.4000,180.0000,top
"R19","10k","R_0603_1608Metric",65.8000,-65.7000,90.0000,top
"R20","1k","R_0603_1608Metric",68.3000,-68.1000,0.0000,top
"R21","0R","R_0603_1608Metric",34.3000,-62.2000,180.0000,top
"R22","120R","R_1206_3216Metric",86.0000,-46.1000,90.0000,top
"R23","10R","R_0603_1608Metric",67.8000,-74.2000,90.0000,top
"R24","10k","R_0603_1608Metric",69.8000,-86.2000,180.0000,top
"RV1","V60MLA1210N","R_1210_3225Metric",22.6000,-92.5125,270.0000,top
"RV2","V60MLA1210N","R_1210_3225Metric",23.0000,-52.9000,270.0000,top
"SW1","Reset","SW_SPST_EVQPE1",75.4000,-84.3000,180.0000,top
"SW2","Boot0","SW_JS202011JCQN",72.8000,-50.0000,0.0000,top
"SW3","Boot1","SW_JS202011JCQN",79.0000,-50.0000,0.0000,top
"SW4","BTN1","SW_SPST_EVQPE1",90.7000,-68.0000,180.0000,top
"SW5","BTN2","SW_SPST_EVQPE1",90.7000,-72.3000,180.0000,top
"U1","LMR50410Y5FQDBVRQ1","SOT-23-6",71.6000,-94.2000,270.0000,top
"U2","AP2111H-3.3TRG1","SOT-223",85.2000,-89.6000,0.0000,top
"U3","STM32F103CBT6TR","LQFP-48_7x7mm_P0.5mm",74.0000,-73.7000,270.0000,top
"U4","INA226","VSSOP-10_3x3mm_P0.5mm",59.3000,-100.9000,180.0000,top
"U5","L78L18_SOT89","SOT-89-3",31.2000,-65.3000,0.0000,top
"U6","UCC27531DBVR","SOT-23-6",32.3500,-59.4000,270.0000,top
"U7","NCV7344D13R2G","SOIC-8_3.9x4.9mm_P1.27mm",87.0000,-62.1000,0.0000,top
"U8","24FC01T-I_OT","SOT-23-5",83.0000,-77.4000,0.0000,top
"Y1","32.768kHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm",79.0500,-65.7000,180.0000,top
"Y2","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",74.7000,-64.5500,180.0000,top
